rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,subject,button_pressed
46774,"<center><p>In this study, you will be trained to use two emotion regulation strategies. You will then practice using these strategies while viewing a series of images.</p><p><b>Please be aware that the images used in this study contain content that may be unpleasant or disturbing</b></p><p>Your participation will take approximately ??? minutes. You will receive $$$$$$$ as payment for your participation. The risks associated with this study are no greater than the risks one might encounter in everyday life. If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled.  The alternative is not to participate. You have the right to refuse to answer particular questions.  The results of this research study may be presented at scientific or professional meetings or published in scientific journals.  Your individual privacy will be maintained in all published and written data resulting from the study.</p><p>If you have questions about this study, please contact us at <u>stanfordpsych251@gmail.com</u>.</p><p>Press the spacebar to begin.</p></center>",32,html-keyboard-response,0,46776,0.0-0.0,j9ech,
5901,<center><p>You will see a series of 4 images accompanied by instructions for two emotion regulation strategies: <b>reappraisal</b> and <b>distraction</b></p></center>,32,html-keyboard-response,1,52678,0.0-1.0,j9ech,
14364,iaps/3030ht.jpg,32,image-keyboard-response,2,67046,0.0-2.0-0.0,j9ech,
11733,iaps/1111lt.jpg,32,image-keyboard-response,3,78782,0.0-2.0-0.1,j9ech,
9632,iaps/2205ht.jpg,32,image-keyboard-response,4,88415,0.0-3.0-0.0,j9ech,
8611,iaps/1019lt.jpg,32,image-keyboard-response,5,97028,0.0-3.0-0.1,j9ech,
13950,"<center><p>You will now practice using the two strategies you just learned. You will see an image presented briefly. You will then see that same image and implement the strategy that is written under the image <b>for 5 seconds. After the 5 seconds are up, the next image will appear automatically.</b></p></center>",32,html-keyboard-response,6,110980,0.0-4.0,j9ech,
3637,iaps/2120lp.jpg,32,image-keyboard-response,7,114618,0.0-5.0-0.0,j9ech,
null,iaps/2120lp.jpg,null,image-keyboard-response,8,119622,0.0-5.0-1.0,j9ech,
2078,iaps/2703hp.jpg,32,image-keyboard-response,9,121703,0.0-5.0-0.1,j9ech,
null,iaps/2703hp.jpg,null,image-keyboard-response,10,126705,0.0-5.0-1.1,j9ech,
1944,iaps/7521lp.jpg,32,image-keyboard-response,11,128651,0.0-6.0-0.0,j9ech,
null,iaps/7521lp.jpg,null,image-keyboard-response,12,133654,0.0-6.0-1.0,j9ech,
1596,iaps/3051jp.jpg,32,image-keyboard-response,13,135254,0.0-6.0-0.1,j9ech,
null,iaps/3051jp.jpg,null,image-keyboard-response,14,140257,0.0-6.0-1.1,j9ech,
11755,"<center><p>You will now practice using the two strategies you just learned. You will see an image presented briefly and <b>select which regulation strategy to use</b>. You will then see that same image and implement the strategy you chose <b>for 5 seconds. After the 5 seconds are up, the next image will appear automatically.</b></p></center>",32,html-keyboard-response,15,152014,0.0-7.0,j9ech,
6092,iaps/8231lp.jpg,,image-button-response,16,158109,0.0-8.0-0.0,j9ech,0
null,iaps/8231lp.jpg,null,image-keyboard-response,17,163111,0.0-8.0-1.0,j9ech,
