"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","subject","button_pressed"
"803","<center><p>In this study, you will be trained to use two emotion regulation strategies. You will then practice using these strategies while viewing a series of images.</p><p><b>Please be aware that the images used in this study contain content that may be unpleasant or disturbing.</b></p><p>Your participation will take approximately 8 minutes. You will receive $X.XX as payment for your participation. The risks associated with this study are no greater than the risks one might encounter in everyday life. If you have read this form and have decided to participate in this project, please understand your participation is voluntary and you have the right to withdraw your consent or discontinue participation at any time without penalty or loss of benefits to which you are otherwise entitled. The alternative is not to participate. You have the right to refuse to answer particular questions. The results of this research study may be presented at scientific or professional meetings or published in scientific journals.  Your individual privacy will be maintained in all published and written data resulting from the study.</p><p>If you have questions about this study, please contact us at <u>stanfordpsych251@gmail.com</u>.</p><p>Press the spacebar to begin.</p></center>","32","html-keyboard-response","0","807","0.0-0.0","auxxy",""
"1765","<center><p>You will see a series of 4 images accompanied by instructions for two emotion regulation strategies: <b>reappraisal</b> and <b>distraction</b></p></center>","32","html-keyboard-response","1","2575","0.0-1.0","auxxy",""
"3105.000000000001","iaps/3030ht.jpg","32","image-keyboard-response","2","5683","0.0-2.0-0.0","auxxy",""
"2235","iaps/1111lt.jpg","32","image-keyboard-response","3","7921","0.0-2.0-0.1","auxxy",""
"2519.999999999999","iaps/2205ht.jpg","32","image-keyboard-response","4","10444","0.0-3.0-0.0","auxxy",""
"2099.000000000002","iaps/1019lt.jpg","32","image-keyboard-response","5","12545","0.0-3.0-0.1","auxxy",""
"1973","<center><p>You will now practice using the two strategies you just learned. You will see an image presented briefly. You will then see that same image and implement the strategy that is written under the image <b>for 5 seconds. Please look at the image for the entire time that it appears on the screen. After the 5 seconds are up, the next image will appear automatically.</b></p></center>","32","html-keyboard-response","6","14521","0.0-4.0","auxxy",""
"1680","iaps/2120lp.jpg","32","image-keyboard-response","7","16203","0.0-5.0-0.0","auxxy",""
"3503","iaps/2120lp.jpg","32","image-keyboard-response","8","21206","0.0-5.0-1.0","auxxy",""
"899","iaps/2703hp.jpg","32","image-keyboard-response","9","22107","0.0-5.0-0.1","auxxy",""
"null","iaps/2703hp.jpg","null","image-keyboard-response","10","27110","0.0-5.0-1.1","auxxy",""
"708","iaps/3051jp.jpg","32","image-keyboard-response","11","27820","0.0-6.0-0.0","auxxy",""
"4802.999999999996","iaps/3051jp.jpg","32","image-keyboard-response","12","32823","0.0-6.0-1.0","auxxy",""
"1346.0000000000073","iaps/7521lp.jpg","32","image-keyboard-response","13","34171","0.0-6.0-0.1","auxxy",""
"null","iaps/7521lp.jpg","null","image-keyboard-response","14","39176","0.0-6.0-1.1","auxxy",""
